X,Y,Location,Road,Area,City,District,Province,UID
74.4489,31.1208,Mobilink Frenchise,Railway Road,,Qasur City,,Punjab,{0446E55F-43D4-47D4-9297-2E170EFB5FFA}
74.4489,31.1253,Darul-uloom Jamia Hanfia,,,Qasur City,,Punjab,{12F97557-7568-4B4F-BFD1-AFD134570347}
74.449,31.1249,Wapda House Chowk,,,Qasur City,,Punjab,{AE903B21-F909-4022-9A44-A0834C8C2B55}
74.4491,31.1246,Police Chokey Laree Adda,,,Qasur City,,Punjab,{BEA164F5-30B2-438F-8497-9FA3EDEE81E0}
74.4492,31.1163,Ali Super Store,Circular Road,,Qasur City,,Punjab,{97A4DB5A-E9F1-4806-B09D-421D3924427E}
74.4492,32.4293,Kot Karam Bakash,,,Tehsil Daskah,District Sialkot,Punjab,{A3CBD6A1-4995-4698-833F-6928DA76134E}
74.4493,31.3945,Thella,,,Lahore,lDistrict Lahore,Punjab,{96F5AEFA-AF11-4036-B347-76517B181645}
74.4494,31.1239,Govt. Model High School,,,Qasur City,,Punjab,{97DC1C6E-3B36-4A13-BFE6-9B894F4B14B9}
74.4495,31.1164,National Bank Ltd (Main Branch),Kachehri Road,,Qasur City,,Punjab,{AE4C9769-3691-4B6F-AA7E-2D0E20D7A344}
74.4496,31.121,Shah Jee Communication & repairing Shop,Railway Road,,Qasur City,,Punjab,{5FE7C7BA-C480-4CA0-960F-011E283E0B38}
74.4497,31.1163,HBL Dingrah Branch,Kachehri Road,,Qasur City,,Punjab,{F1B3C1EB-CA63-4CBF-A880-79C513CBFE29}
74.4498,31.1228,End Shool of Govt. Model High School,,,Qasur City,,Punjab,{252FCCB4-518D-4A2A-8FAD-8662B12618F3}
74.45,31.1318,Chowk Qadirabad,Raiwind Road,,Qasur City,,Punjab,{2AE00451-E73C-4B23-9AE9-16E55D070E06}
74.4502,31.1212,Bilal Pharmacy,Railway Road,,Qasur City,,Punjab,{B7403414-7916-4FA1-A722-ABB6C0DF4399}
74.4502,31.122,Siddique Pinsar Dawakhana,,,Qasur City,,Punjab,{64616EEA-4E04-4229-82F4-8B00B9CD49B2}
74.4503,31.1161,Mehr Brother Bairing Store,Kachehri Road,,Qasur City,,Punjab,{1D510FFA-17E1-4794-BD2D-62DF10B8CB9C}
74.4505,31.1214,Qasuri Phaloodah,,,Qasur City,,Punjab,{8D145273-8D6F-4B58-B2EB-415ED79B20AC}
74.4505,31.1318,Kashmir General Store,Raiwind Road,,Qasur City,,Punjab,{7E825712-A9B8-4465-8A05-D03EB0AF01A6}
74.4505,32.4753,Model Town Uggoke,,,Tehsil Sialkot,District Sialkot,Punjab,{CD4FC107-D9A1-4167-A7F2-BFFCB6ADA3FC}
74.4508,31.1159,Jamia Masjid Hanfia Islamia,Kachehri Road,,Qasur City,,Punjab,{1B00844D-1B71-4FFC-A4A3-F6474C139C90}
74.4508,31.1319,Mughal Auto workshop,Raiwind Road,,Qasur City,,Punjab,{953C7642-7774-42E9-B5E9-9A3232727765}
74.4509,31.0936,Shokat Service Station,Dipalpur Road,,Tehsil&District Qasur,,Punjab,{A4BCE641-005C-42B3-BBD4-B53B321E18F1}
74.451,31.1217,Afghan Goods Transport Adda Khem Karan,,,Qasur City,,Punjab,{A111B716-16CE-4FFE-91C9-33BA12E06507}
74.4514,32.525,Basantpur,,,Tehsil Sialkot,District Sialkot,Punjab,{A2BBDF17-6835-41CC-8F80-33530E095F85}
74.4515,31.1216,Ilyas Cooling Centre,,,Qasur City,,Punjab,{871328E1-B23C-4BAD-AA81-E53062144E99}
74.4515,31.1319,Jamia Masjid Noor-e-Madina,Raiwind Road,,Qasur City,,Punjab,{0D59D88E-1CEC-4E19-9CC2-9544AB243BF2}
74.4515,32.484,Uggoke,,,Tehsil Sialkot,District Sialkot,Punjab,{E8FF632B-0565-4B88-ABC7-A21A2CE84683}
74.452,31.1155,Pull Qatal Garhi,Kachehri Road,,Qasur City,,Punjab,{64D38E43-D104-4AD7-ADB8-05E65CAA41C4}
74.452,31.1216,Jamia Masjid Noor,,,Qasur City,,Punjab,{E5054EF9-D3A7-451C-9650-D168191D8169}
74.4523,31.0945,Pull Dolaywala,Dipalpur Road,,Tehsil&District Qasur,,Punjab,{AEC50EEB-F303-40D7-9F15-7431DFB6FAEC}
74.4523,31.1218,Hafiz Pharmacy,,,Qasur City,,Punjab,{6616927B-F32F-4814-A1AF-9AEEA15B6D2F}
74.4523,31.1564,Madina Sizing Industry,Lahore-Qasur Road,,Tehsil&District Qasur,,Punjab,{A52025C7-0B1B-48C3-B114-2BAB1773D741}
74.4525,32.5156,Gadare,,,Tehsil Sialkot,District Sialkot,Punjab,{3B728EDB-6A9C-40BE-8E89-8F192A76AFBC}
74.4525,32.534,Kapurawali,,,Tehsil Sialkot,District Sialkot,Punjab,{58F324E2-1634-4715-916C-8DF6C2CFAD75}
74.4527,31.1218,The Shifa Laobratory,,,Qasur City,,Punjab,{B3FDA85B-2F41-492F-BA39-30222FDA430A}
74.4527,31.132,Al-shifa Hospital,Raiwind Road,,Qasur City,,Punjab,{6862A927-4838-43F4-BD7E-8DA6E118487B}
74.4529,30.9999,Kharepar,,,,District Kasur,Punjab,{8D96A668-FD5D-401B-867F-E3F8B88C487D}
74.453,31.1218,Madina Dental Clinic,,,Qasur City,,Punjab,{4D757533-EEDB-4A9F-893B-7A5CD7090B70}
74.4531,31.1544,Unique Pearl Oaster English Shcool,Lahore-Qasur Road,,Tehsil&District Qasur,,Punjab,{EA6D62E4-414D-4794-A27F-43F743FA4F77}
74.4533,31.1321,Suzuki City Auto,Raiwind Road,,Qasur City,,Punjab,{9158CF24-969A-4161-980B-EBD6465894D2}
74.4533,32.5562,Jatta,,,Tehsil Sialkot,District Sialkot,Punjab,{8365077F-22BF-4E94-91DC-724CA33C4096}
74.4534,31.1225,Govt MC Girls High School,,,Qasur City,,Punjab,{2719FCBF-9098-4984-BCDC-C95A12DF2493}
74.4535,31.1219,Ashraf Pharmacy,,,Qasur City,,Punjab,{C6E95789-E69D-42F0-92DF-947BAFA4C1A1}
74.4536,31.1151,Chowk Qatal Garhi,Kachehri Road,,Qasur City,,Punjab,{40687BD5-A486-4545-AD5D-42D29E318543}
74.4536,31.1268,College Photo Copy,,,Qasur City,,Punjab,{0939F338-FF84-49C2-9844-70613374BFB9}
74.4538,31.1219,Lahore Sweet & Baker,,,Qasur City,,Punjab,{95D107E6-D657-4126-B2EA-5FAB82066AF6}
74.4538,31.1272,Govt Islamia College,,,Qasur City,,Punjab,{C466A8CE-6540-42E0-9C54-E7600EF0FC12}
74.4538,31.1291,Masjid Baba Jannat,,,Qasur City,,Punjab,{B5D4A8D7-AC11-44AC-A53D-81FB9CBBBD0A}
74.4538,31.706,Talwara Par,,,Ferozewala,Sheikhupura,Punjab,{0B8257EA-A811-4DED-B7C4-B26A4970DAFC}
74.4539,31.1321,Khokhar Chowk,Raiwind Road,,Qasur City,,Punjab,{6488A0BF-CFD2-490A-B692-8B9CE3B32E2E}
74.454,31.1262,Rizwan Zari House,College Road,,Qasur City,,Punjab,{5160983E-3189-43E6-96E8-CE10014302B7}
74.4541,31.1313,Masjid Hazoori,,,Qasur City,,Punjab,{2EC603C5-CCBB-4545-A602-05B83E4E0886}
74.4542,31.1148,Haji Sweet Mart,Kachehri Road,Kot Ghulam Muhammad Khan,Qasur City,,Punjab,{65085408-F140-4542-8D8B-98BA12BED64D}
74.4543,31.1294,Graveyard near Govt Islamia College,,,Qasur City,,Punjab,{4A489762-DEC7-4521-A9F2-2F81200F0A27}
74.4544,31.1264,Bilal General Store,College Road,,Qasur City,,Punjab,{5E636882-D8D4-48D8-BF06-0F68E29DB2DD}
74.4549,31.1144,Shams Shehd Centre,Kachehri Road,Kot Ghulam Muhammad Khan,Qasur City,,Punjab,{38AE3DD7-8222-411C-81BB-442F9A2C4FFE}
74.4549,31.1219,Dr. Taiba Saleem Clinic,,,Qasur City,,Punjab,{A8F49BA6-0DCB-405D-94A7-0817D508AB48}
