X,Y,Location,Road,Area,City,District,Province
73.0849,31.4186,GPO Railway Road,,,Faisalabad City,District Faisalabad,Punjab
73.0849,31.4337,Khiam Malwari Paratha  Iqbal Stadium,,Iqbal Stadium,Faisalabad City,District Faisalabad,Punjab
73.0849,31.4383,Abdur-Rehman Kiryana Store Race Cource Road Islam Nagar,,,Faisalabad City,District Faisalabad,Punjab
73.085,31.4332,Phajja Siri Pai  Iqbal Stadium,,Iqbal Stadium,Faisalabad City,District Faisalabad,Punjab
73.085,31.4345,Gate # 4 Iqbal Stadium,,Iqbal Stadium,Faisalabad City,District Faisalabad,Punjab
73.085,33.6618,Anjman Faiz-e-Islam,Muree Road,,Rawalpindi City,District Rawalpindi,Punjab
73.085265,31.452471,Faisalabad Enterance,faisalabad-chiniot road,,Faisalabad,Faisalabad,Punjab
73.0853,31.4329,Ladies Gate Iqbal Stadium,,Iqbal Stadium,Faisalabad City,District Faisalabad,Punjab
73.0853,31.4577,Dera Sheykh Bashir Ahmad,,,Faisalabad City,District Faisalabad,Punjab
73.0853,31.4586,Masjid Rehman,,,Faisalabad City,District Faisalabad,Punjab
73.0854,33.7055,Askari Commercial Bank,Khayaban-e-Suharwardy,G -6/1,Islamamabad City,Disttirct Islamamabad,Punjab
73.0855,31.4328,Fast Food Iqbal Stadium,,Iqbal Stadium,Faisalabad City,District Faisalabad,Punjab
73.0855,33.5621,Silver Line School System,GT Road,,Rawalpindi City,District Rawalpindi,Punjab
73.0855,33.706,Nadia Resturant Aabpara Market,,G -6/1,Islamamabad City,Disttirct Islamamabad,Punjab
73.0856,31.3975,Usman Estate Linker Siddia Road Darul Ihsan,,,Faisalabad City,District Faisalabad,Punjab
73.0856,31.4394,Mehr Kiryana Store Sooter Mandi  Main Bazar Islamnagar,,,Faisalabad City,District Faisalabad,Punjab
73.0856,31.4522,Cresent Mills South West Corner,Sargodha Road,,Faisalabad City,District Faisalabad,Punjab
73.0857,31.4837,Gokhuwal,,,Faisalabad,Faisalabad,Punjab
73.0857,33.7253,MCB,Jinnah Avenue,Blue Area,Islamamabad City,Disttirct Islamamabad,Punjab
73.0858,30.6556,Jehaz Ground Graveyard,,,Sahiwal City,,Punjab
73.0858,31.4207,Hilal-e-Ahmer Hospital,,,Faisalabad City,District Faisalabad,Punjab
73.0858,31.4348,Ali Car Centre,,Iqbal Stadium,Faisalabad City,District Faisalabad,Punjab
73.0858,33.3588,Samlal,,,Tehsil Rawalpindi,District Rawalpindi,Punjab
73.0859,31.4284,3 C Bilal Road,,,Faisalabad City,District Faisalabad,Punjab
73.0859,31.4591,Muslim Town 1 Sreet # 5,,,Faisalabad City,District Faisalabad,Punjab
73.0859,31.9458,Rattapur,Ahmad Nagar Sial Mor Road,,Kotmomin,District Sargodha,Punjab
73.0859,33.7058,Habib Bank Limited Aabpara Market,Khayaban-e-Suharwardy,G -6/1,Islamamabad City,Disttirct Islamamabad,Punjab
73.0861,31.466,Muslim Town,,,Faisalabad City,District Faisalabad,Punjab
73.0862,31.4312,Al-Faisal Nabina Markaz,,,Faisalabad City,District Faisalabad,Punjab
73.0862,31.4326,Satdium Gate # 1,,Iqbal Stadium,Faisalabad City,District Faisalabad,Punjab
73.0862,31.4389,Masjid Bahar-e-Madina  Main Bazar Islamnagar,,,Faisalabad City,District Faisalabad,Punjab
73.0862,33.706,Pearl Resturant,Khayaban-e-Suharwardy,G -6/1,Islamamabad City,Disttirct Islamamabad,Punjab
73.0863,30.7693,Daula Bala,,,Tehsil Sahiwal,District Sahiwal,Punjab
73.0863,31.0931,Sanda,,,Sumundri,Faisalabad,Punjab
73.0863,31.4347,Batala Service Rent a Car,,Iqbal Stadium,Faisalabad City,District Faisalabad,Punjab
73.0863,33.6983,Goal Chowk Shakarparian Road,,H-7 (Shakarparian),Islamamabad City, District Islamabad,Punjab
73.086381,31.764843,Kolian Mor,pindi-bhatian chiniot road,,,Jhang,Punjab
73.0864,31.3963,Masjid Anwar Khan Baloch,,,Faisalabad City,District Faisalabad,Punjab
73.0864,31.4596,Muslim Town 1 Sreet # 6,,,Faisalabad City,District Faisalabad,Punjab
73.0864,33.5611,Hotel Royal Palace,GT Road,,Rawalpindi City,District Rawalpindi,Punjab
73.0864,33.7257,Meezan Bank,Jinnah Avenue,Blue Area,Islamamabad City,Disttirct Islamamabad,Punjab
73.0865,30.1343,Marlay,,,Teshil Arifwala,District Pakpattan Sharif,Punjab
73.0865,31.3966,Beaconhouse School System,,,Faisalabad City,District Faisalabad,Punjab
73.0865,31.4363,Jamia Masjid Subhan Allah Race Cource Road Islam Nagar,,,Faisalabad City,District Faisalabad,Punjab
73.0865,32.3501,Horgan,,,Bhalwal,Sargodha,Punjab
73.0865,33.41,Dhudian,,,Tehsil Rawalpindi,District Rawalpindi,Punjab
73.0865,33.6322,Sadiqabad Police Station,,,Rawalpindi City,District Rawalpindi,Punjab
73.0866,31.4279,SDO Ababa Sub Division,,,Faisalabad City,District Faisalabad,Punjab
73.0866,31.4332,Gate # 8 Iqbal Stadium,,Iqbal Stadium,Faisalabad City,District Faisalabad,Punjab
73.0866,31.4345,Gate # 6 Iqbal Stadium,,Iqbal Stadium,Faisalabad City,District Faisalabad,Punjab
73.0866,31.4617,Walid Block Muslim Town,,,Faisalabad City,District Faisalabad,Punjab
73.0868,31.4339,Gate # 7 Iqbal Stadium,,Iqbal Stadium,Faisalabad City,District Faisalabad,Punjab
73.0868,31.4341,Ilah Din Baryani House,,Iqbal Stadium,Faisalabad City,District Faisalabad,Punjab
73.0869,29.4841,Chak 121-6R,,,Tehsil Haroonabad,District Bahahwalnagar,Punjab
73.0869,30.6668,Central Jail North West Corner,,,Sahiwal City,,Punjab
73.0869,31.4601,Muslim Town 1 Sreet # 7,,,Faisalabad City,District Faisalabad,Punjab
73.0869,31.9469,Sigerette Factory,Sial Mor Ahmadnagar Road,,,,Punjab
73.0869,33.6647,Faizabad Interchange,Muree Road,,Islamamabad City, District Islamabad,Punjab
73.0869,33.7265,Union Bank,Jinnah Avenue,Blue Area,Islamamabad City,Disttirct Islamamabad,Punjab
73.0869,33.7326,Marriot Hotel,,,Islamamabad City,Disttirct Islamamabad,Punjab
73.087,31.4198,Hazarah Hotel,,,Faisalabad City,District Faisalabad,Punjab
73.087,31.4608,Al Masoom Jamia Masjid,,,Faisalabad City,District Faisalabad,Punjab
73.0871,33.7065,National Bank Limited,Khayaban-e-Suharwardy,G -6/1,Islamamabad City,Disttirct Islamamabad,Punjab
73.0871,33.7129,Lal Masjid,,,Islamamabad City,Disttirct Islamamabad,Punjab
73.0871,33.7133,Markazi Jamia Masjid (Lal Masjid),,,Islamamabad City,Disttirct Islamamabad,Punjab
73.0873,31.4303,Commissioner Office,,,Faisalabad City,District Faisalabad,Punjab
73.0873,31.4605,Muslim Town 1 Sreet # 8,,,Faisalabad City,District Faisalabad,Punjab
73.0873,31.4635,Umar Block,,,Faisalabad City,District Faisalabad,Punjab
73.0873,31.465,Graveyard Backside of Muslim Town,,,Faisalabad City,District Faisalabad,Punjab
73.0874,31.1225,Mangera,,,Sumundri,Faisalabad,Punjab
73.0874,31.454,Pinum colony Gate,,,Faisalabad City,District Faisalabad,Punjab
73.0875,30.654,Jamia Masjid Bilali,,,Sahiwal City,District Sahiwal,Punjab
73.0875,31.4638,Masjid Abu Bakr Siddique,,,Faisalabad City,District Faisalabad,Punjab
73.0876,32.6048,Daffar,,,Tehsil Pind Dadan Khan,District Jhelum,Punjab
73.0876,33.7067,United Bank Limited,Khayaban-e-Suharwardy,G -6/1,Islamamabad City,Disttirct Islamamabad,Punjab
73.0876,33.7113,Aitwar Bazar,,,Islamamabad City,Disttirct Islamamabad,Punjab
73.0877,30.661,Central Jail South west Corner,,,Sahiwal City,,Punjab
73.0877,31.4165,Catholic Church  Railway Road,,,Faisalabad City,District Faisalabad,Punjab
73.0877,31.4377,Quaid-e-Millat Girls High School  Main Bazar Islamnagar,,,Faisalabad City,District Faisalabad,Punjab
73.0877,32.5192,Perth Sharqi,,,Bhalwal,Sargodha,Punjab
